iter	Passed	Remaining
0	58	58142
1	59	29659
2	60	20031
3	61	15194
4	62	12510
5	63	10523
6	64	9110
7	64	8023
8	65	7226
9	66	6553
10	66	5980
11	67	5537
12	68	5178
13	68	4826
14	69	4551
15	69	4300
16	70	4094
17	71	3899
18	73	3801
19	74	3666
20	75	3524
21	76	3383
22	76	3267
23	77	3143
24	77	3035
25	78	2948
26	79	2868
27	80	2783
28	81	2722
29	81	2650
30	82	2592
31	83	2521
32	83	2451
33	84	2391
34	85	2346
35	85	2290
36	86	2239
37	86	2191
38	88	2184
39	89	2144
40	90	2106
41	90	2066
42	90	2022
43	91	1987
44	91	1947
45	92	1925
46	93	1901
47	95	1885
48	95	1856
49	96	1836
50	97	1810
51	97	1782
52	98	1752
53	98	1723
54	98	1695
55	99	1670
56	99	1648
57	100	1624
58	100	1599
59	100	1575
60	100	1552
61	101	1533
62	101	1511
63	101	1491
64	102	1470
65	103	1467
66	104	1453
67	105	1439
68	105	1424
69	105	1408
70	106	1392
71	106	1376
72	107	1361
73	107	1344
74	107	1330
75	108	1317
76	110	1319
77	111	1315
78	112	1307
79	112	1296
80	113	1285
81	113	1273
82	114	1259
83	114	1249
84	114	1237
85	115	1225
86	116	1224
87	118	1228
88	119	1220
89	119	1211
90	120	1200
91	120	1191
92	121	1182
93	121	1172
94	122	1163
95	122	1155
96	123	1145
97	123	1135
98	123	1125
99	124	1116
100	124	1106
101	124	1099
102	125	1090
103	125	1081
104	125	1072
105	126	1065
106	126	1058
107	127	1051
108	127	1044
109	128	1036
110	128	1028
111	128	1020
112	129	1012
113	129	1005
114	129	998
115	130	992
116	130	984
117	130	978
118	131	971
119	131	964
120	131	958
121	132	951
122	132	945
123	133	940
124	133	934
125	133	928
126	134	921
127	134	915
128	134	909
129	135	903
130	135	899
131	136	894
132	136	889
133	136	883
134	137	878
135	137	874
136	138	869
137	138	865
138	138	860
139	139	854
140	139	850
141	139	844
142	140	840
143	140	836
144	141	831
145	141	826
146	141	822
147	142	817
148	142	812
149	142	808
150	142	803
151	143	799
152	143	794
153	143	789
154	144	785
155	144	782
156	145	778
157	145	774
158	145	770
159	146	766
160	146	761
161	146	757
162	146	753
163	147	750
164	147	746
165	148	743
166	148	740
167	148	737
168	149	734
169	149	731
170	150	728
171	150	725
172	151	721
173	151	718
174	151	715
175	152	713
176	152	710
177	153	707
178	153	704
179	153	701
180	154	699
181	154	696
182	155	693
183	155	689
184	155	686
185	156	683
186	156	680
187	156	677
188	157	674
189	157	671
190	157	668
191	158	665
